TradeId,Trade Date,Maturity,Counterparty,Description,Notional,InitialMargin,Attach,Detach
CDS0041906,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",TELDAN_Jun21_EUR_100,4600000.0,0.0,,
CDS0041907,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",TELEFO_Jun21_EUR_100,4600000.0,0.0,,
CDS0041908,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",TEVA_Jun21_USD_100,5400000.0,0.0,,
CDS0041909,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",THC_Jun21_USD_500,5400000.0,0.0,,
CDS0041910,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",TIIMN_Jun21_EUR_100,4600000.0,0.0,,
CDS0041911,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",TSCO_Jun21_EUR_100,4600000.0,0.0,,
CDS0041912,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",UCOHLD_Jun21_USD_500,5400000.0,0.0,,
CDS0041913,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",UNITREN_Jun21_USD_500,5400000.0,0.0,,
CDS0041914,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",UNITYGM_Jun21_EUR_500,4600000.0,0.0,,
CDS0041915,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",VIAINC_Jun21_USD_100,5400000.0,0.0,,
CDS0041916,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",VIRFIN_Jun21_EUR_500,4600000.0,0.0,,
CDS0041917,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",VLOF_Jun21_EUR_100,4600000.0,0.0,,
CDS0041918,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",VW_Jun21_EUR_100,4600000.0,0.0,,
CDS0041919,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",WHR_Jun21_USD_100,5400000.0,0.0,,
CDS0041920,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",X_Jun21_USD_500,5400000.0,0.0,,
CDS0041921,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",XEL-NRGInc_Jun21_USD_500,5400000.0,0.0,,
CDS0041922,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",XRX_Jun21_USD_100,5400000.0,0.0,,
CDS0041831,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",ABX_Jun21_USD_100,5400000.0,0.0,,
CDS0041832,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",ACAFP_Jun21_EUR_100,4600000.0,0.0,,
CDS0041833,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",AES_Jun21_USD_500,5400000.0,0.0,,
CDS0041834,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",AF_Jun21_EUR_500,4600000.0,0.0,,
CDS0041835,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",AKS-Corp_Jun21_USD_500,5400000.0,0.0,,
CDS0041836,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",ALTICEF_Jun21_EUR_500,4600000.0,0.0,,
CDS0041837,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",APA_Jun21_USD_100,5400000.0,0.0,,
CDS0041838,2019-01-17,20/06/2021 00:00:00,"JPMorgan Chase Bank, National Association",ARDAPAC_Jun21_EUR_500,4600000.0,0.0,,
